Route,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Total_Sales
Lot's O' Nuts -> Ontario,28,3.857142857142857,1.6265001215808885,348.32
Secret Factory -> Florida,7,3.857142857142857,1.2149857925879117,78.75
The Other Factory -> New York,14,3.857142857142857,2.0326997151247235,181.75
Wicked Choccy's -> Iowa,14,3.857142857142857,1.7478401113789142,172.5
Lot's O' Nuts -> Arizona,111,3.864864864864865,2.0292698484765688,1468.05
Wicked Choccy's -> Colorado,70,3.8714285714285714,1.8952375750386834,906.5
Wicked Choccy's -> Oklahoma,25,3.88,1.985782801147531,308.25
Wicked Choccy's -> New Mexico,17,3.8823529411764706,1.2689736473414486,229.5
Sugar Shack -> New York,9,3.888888888888889,1.8333333333333333,56.97
Wicked Choccy's -> Manitoba,10,3.9,1.9119507199599983,120.25
Lot's O' Nuts -> Indiana,90,3.922222222222222,1.5007696735288094,1253.78
Secret Factory -> California,31,3.935483870967742,2.0483405294850714,1238.75
Lot's O' Nuts -> Illinois,267,3.943820224719101,1.7559322689024426,3539.21
Wicked Choccy's -> New York,436,3.956422018348624,1.9083434582968604,5518.25
Lot's O' Nuts -> Florida,209,3.9569377990430623,1.9072387917123648,2640.13
Lot's O' Nuts -> Nevada,24,3.9583333333333335,1.7810394294555532,389.21000000000004
Wicked Choccy's -> Texas,388,3.963917525773196,1.9084301254088463,5140.5
Wicked Choccy's -> Minnesota,45,3.977777777777778,1.9008238511580482,595.25
Lot's O' Nuts -> New York,645,3.9984496124031006,1.9065913983514415,8757.81
Secret Factory -> Wisconsin,5,4.0,1.8708286933869707,415.0
Secret Factory -> Utah,1,4.0,,100.0
Secret Factory -> Arkansas,2,4.0,0.0,63.75
Lot's O' Nuts -> Kansas,15,4.0,2.104417123236605,188.93
Lot's O' Nuts -> District of Columbia,8,4.0,1.3093073414159542,126.0
Wicked Choccy's -> Arizona,105,4.0,1.9115036368906428,1429.5
Wicked Choccy's -> West Virginia,2,4.0,0.0,25.25
The Other Factory -> Virginia,4,4.0,2.943920288775949,55.25
Wicked Choccy's -> Alberta,8,4.0,1.9272482233188633,146.0
The Other Factory -> Connecticut,2,4.0,0.0,9.75
Sugar Shack -> Washington,1,4.0,,1.99
Secret Factory -> North Carolina,4,4.0,3.1622776601683795,20.0
Secret Factory -> Vermont,1,4.0,,7.5
Secret Factory -> Minnesota,1,4.0,,5.0
Sugar Shack -> Texas,3,4.0,2.0,15.0
The Other Factory -> Louisiana,1,4.0,,9.75
The Other Factory -> Massachusetts,3,4.0,1.7320508075688772,32.5
Lot's O' Nuts -> Wisconsin,58,4.017241379310345,2.0390174733197672,768.25
Lot's O' Nuts -> Washington,269,4.018587360594796,1.8697384516559645,3492.91
Lot's O' Nuts -> Maryland,60,4.033333333333333,1.886317070482977,812.74
Lot's O' Nuts -> Virginia,109,4.045871559633028,1.7918814915185157,1538.84
Wicked Choccy's -> Maryland,41,4.048780487804878,1.8834970070615336,652.25
Lot's O' Nuts -> Kentucky,77,4.064935064935065,1.5922316541460915,1039.13
Wicked Choccy's -> Pennsylvania,227,4.079295154185022,1.8938333640340763,2804.25
Wicked Choccy's -> Nevada,12,4.083333333333333,1.3113721705515065,151.5
Wicked Choccy's -> Virginia,106,4.084905660377358,1.8158976504003632,1490.0
Lot's O' Nuts -> Nebraska,23,4.086956521739131,1.8808374217658008,295.28000000000003
Wicked Choccy's -> California,823,4.0899149453219925,1.8683385459271793,11394.0
Wicked Choccy's -> North Carolina,101,4.108910891089109,1.742991624185325,1376.25
Wicked Choccy's -> New Jersey,59,4.11864406779661,1.8202381973977821,672.0
Wicked Choccy's -> Illinois,210,4.119047619047619,2.019076260345309,2801.5
Lot's O' Nuts -> Louisiana,24,4.125,1.8252456654188867,283.71000000000004
Lot's O' Nuts -> Tennessee,109,4.128440366972477,1.6278872778747706,1361.56
Lot's O' Nuts -> Texas,569,4.137082601054481,1.8553821391426515,7642.34
Lot's O' Nuts -> Michigan,147,4.149659863945578,1.9562115381893612,2103.76
Lot's O' Nuts -> North Carolina,143,4.153846153846154,2.0566199958063707,2045.6100000000001
Lot's O' Nuts -> Pennsylvania,331,4.166163141993958,1.776838379777264,4338.55
Wicked Choccy's -> Oregon,43,4.186046511627907,1.7492285912515342,628.25
Lot's O' Nuts -> Arkansas,31,4.193548387096774,1.5366490564148487,434.69
Lot's O' Nuts -> Georgia,110,4.2,1.9146945045807067,1474.09
Lot's O' Nuts -> North Dakota,5,4.2,1.7888543819998317,57.160000000000004
Lot's O' Nuts -> Oklahoma,41,4.219512195121951,1.9301838658784716,569.4
Wicked Choccy's -> Florida,161,4.22360248447205,1.9684230848559428,2009.25
Wicked Choccy's -> Kentucky,58,4.224137931034483,1.7576210342219687,769.25
Wicked Choccy's -> Delaware,49,4.244897959183674,1.8543935693924523,601.5
Wicked Choccy's -> South Carolina,19,4.2631578947368425,1.9102677317636771,307.0
Wicked Choccy's -> Arkansas,27,4.296296296296297,1.9377785619068437,393.5
Wicked Choccy's -> Massachusetts,54,4.296296296296297,1.6668762970890625,671.25
Lot's O' Nuts -> Mississippi,30,4.3,1.8222759547259615,448.43
Lot's O' Nuts -> Oregon,77,4.324675324675325,1.7729069085422395,1085.9
The Other Factory -> Ohio,3,4.333333333333333,1.1547005383792515,29.25
The Other Factory -> Tennessee,3,4.333333333333333,0.5773502691896258,42.25
Secret Factory -> New York,24,4.375,2.122600947566145,1026.25
Secret Factory -> Michigan,5,4.4,2.3021728866442674,82.5
Wicked Choccy's -> Michigan,100,4.43,1.8762470600384773,1127.0
Wicked Choccy's -> Kansas,9,4.444444444444445,2.2973414586817036,74.25
Lot's O' Nuts -> New Jersey,65,4.446153846153846,1.5615574079941916,825.88
Lot's O' Nuts -> New Hampshire,13,4.461538461538462,1.3913653136029502,178.02
The Other Factory -> Delaware,2,4.5,0.7071067811865476,26.0
Lot's O' Nuts -> Idaho,14,4.5,2.0662116951635836,146.5
Wicked Choccy's -> Saskatchewan,2,4.5,2.1213203435596424,29.25
Wicked Choccy's -> Quebec,24,4.5,1.4142135623730951,254.75
Wicked Choccy's -> New Brunswick,4,4.5,1.2909944487358056,75.0
Secret Factory -> New Jersey,2,4.5,0.7071067811865476,6.25
Secret Factory -> Massachusetts,2,4.5,2.1213203435596424,100.0
Secret Factory -> Indiana,4,4.5,2.0816659994661326,21.25
Lot's O' Nuts -> Minnesota,43,4.511627906976744,1.6672202845748654,561.21
Lot's O' Nuts -> South Dakota,9,4.555555555555555,1.8104634152000358,117.59
Lot's O' Nuts -> Iowa,16,4.5625,1.8607794065928394,227.87
Wicked Choccy's -> Wisconsin,47,4.574468085106383,1.9081596056098233,737.25
Wicked Choccy's -> Tennessee,67,4.582089552238806,1.7069310910035718,915.75
Lot's O' Nuts -> Alabama,34,4.588235294117647,1.8441988826361917,475.61
Lot's O' Nuts -> Vermont,5,4.6,1.140175425099138,103.19
Wicked Choccy's -> Mississippi,22,4.636363636363637,1.839913417876337,315.75
Lot's O' Nuts -> New Mexico,18,4.666666666666667,1.5718104959867516,260.71
Wicked Choccy's -> Indiana,54,4.703703703703703,1.755096402551773,708.25
Wicked Choccy's -> Nova Scotia,6,4.833333333333333,1.9407902170679516,87.5
Wicked Choccy's -> Ontario,30,4.866666666666666,1.5252661346824676,466.25
The Other Factory -> Indiana,1,5.0,,19.5
Sugar Shack -> Connecticut,1,5.0,,3.98
Secret Factory -> Alberta,2,5.0,2.8284271247461903,180.0
Lot's O' Nuts -> British Columbia,18,5.0,1.5339299776947408,253.4
Secret Factory -> Delaware,1,5.0,,60.0
Sugar Shack -> New Jersey,1,5.0,,5.97
The Other Factory -> Alabama,2,5.0,2.8284271247461903,35.75
Wicked Choccy's -> District of Columbia,2,5.0,2.8284271247461903,16.25
Wicked Choccy's -> Idaho,7,5.142857142857143,2.1157009420498154,78.75
Lot's O' Nuts -> Maine,6,5.166666666666667,1.4719601443879744,71.23
Lot's O' Nuts -> Prince Edward Island,6,5.333333333333333,1.3662601021279464,78.1
Wicked Choccy's -> Prince Edward Island,4,5.5,1.7320508075688772,52.0
Lot's O' Nuts -> Montana,8,5.5,1.851640199545103,92.61
Lot's O' Nuts -> New Brunswick,4,5.5,1.0,97.72
Secret Factory -> Louisiana,2,5.5,0.7071067811865476,11.25
The Other Factory -> Georgia,2,5.5,0.7071067811865476,39.0
Wicked Choccy's -> Vermont,5,5.6,0.894427190999916,51.75
Sugar Shack -> Florida,3,5.666666666666667,0.5773502691896257,36.89
Lot's O' Nuts -> Newfoundland and Labrador,6,5.666666666666667,1.632993161855452,162.0
Sugar Shack -> Pennsylvania,3,5.666666666666667,0.5773502691896257,24.23
The Other Factory -> Washington,4,5.75,0.9574271077563381,52.0
Secret Factory -> Maryland,3,6.0,1.0,8.75
Secret Factory -> New Hampshire,1,6.0,,6.25
Secret Factory -> Mississippi,1,6.0,,80.0
Sugar Shack -> Rhode Island,1,6.0,,4.5
Sugar Shack -> Delaware,1,6.0,,4.5
The Other Factory -> New Jersey,3,6.333333333333333,1.1547005383792515,68.25
The Other Factory -> Missouri,1,7.0,,6.5
The Other Factory -> Rhode Island,1,7.0,,22.75
